jobtitle,count
"Account Coordinator",2
"Account Executive",386
"Account Manager",188
"Accountant I",62
"Accountant II",65
"Accountant III",71
"Accountant IV",70
"Accounting Assistant I",74
"Accounting Assistant II",69
"Accounting Assistant III",59
"Accounting Assistant IV",68
Actuary,20
"Administrative Assistant",27
"Administrative Assistant I",154
"Administrative Assistant II",37
"Administrative Assistant III",14
"Administrative Assistant IV",6
"Administrative Officer",45
"Analog Circuit Design manager",36
"Analyst Programmer",290
"Assistant Manager",39
"Assistant Professor",1
"Assistant Trainer",139
"Associate Professor",1
Attorney,33
"Automation Specialist I",22
"Automation Specialist II",26
"Automation Specialist III",11
"Automation Specialist IV",15
"Budget/Accounting Analyst I",120
"Budget/Accounting Analyst II",130
"Budget/Accounting Analyst III",130
"Budget/Accounting Analyst IV",135
"Business Analyst",552
"Business Development Manager",5
"Business Systems Development Analyst",272
"Chief Design Engineer",76
"Community Outreach Specialist",21
"Compensation Analyst",25
"Computer Systems Analyst I",71
"Computer Systems Analyst II",75
"Computer Systems Analyst III",55
"Computer Systems Analyst IV",53
"Content Developer",42
"Content Developer II",43
"Content Developer III",42
"Cost Accountant",240
"Customer Success Manager",151
"Data Coordiator",284
"Data Visualization Specialist",346
"Database Administrator I",64
"Database Administrator II",68
"Database Administrator III",67
"Database Administrator IV",69
"Design Engineer",41
"Desktop Support Technician",242
"Developer I",69
"Developer II",53
"Developer III",62
"Developer IV",59
"Director of Sales",8
Editor,69
"Electrical Engineer",22
"Engineer I",7
"Engineer II",4
"Engineer III",5
"Engineer IV",1
"Executive Assistant",31
"Financial Advisor",26
"Financial Analyst",48
"General Manager",21
"Graphic Designer",9
"Help Desk Operator",70
"Help Desk Technician",266
"HR Manager",162
"Human Resources Analyst",324
"Human Resources Analyst II",477
"Human Resources Assistant I",10
"Human Resources Assistant II",10
"Human Resources Assistant III",13
"Human Resources Assistant IV",9
"Human Resources Manager",53
"Information Systems Manager",31
"Internal Auditor",38
"Junior Trainer",135
"Legal Assistant",16
Librarian,20
"Marketing Assistant",8
"Marketing Manager",1
"Mechanical Systems Engineer",21
"Media Manager I",108
"Media Manager II",41
"Office Assistant I",6
"Office Assistant IV",1
Operator,170
Paralegal,48
"Payment Adjustment Coordinator",16
"Pre-Sales Consultant",169
"Product Engineer",46
"Programmer Analyst I",74
